symbol,exchange,name,country,data,updated_at,fund_score
000540,KQ,,,"{""eps"": 749.8109, ""name"": ""Heungkuk Fire & Marine Insurance Co., Ltd"", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": 4.602939131866782, ""industry"": ""Multi-Line Insurance"", ""marketCap"": 224214367170.0, ""dividendYield"": null}",2026-01-13 11:12:30.119047+00,
000545,KQ,,,"{""eps"": 749.8109, ""name"": ""Heungkuk Fire & Marine Insurance Co Ltd Pfd Registered Shs Non-Voting"", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": 9.50284207869271, ""industry"": ""Multi-Line Insurance"", ""marketCap"": 224214367170.0, ""dividendYield"": null}",2026-01-13 11:12:30.361434+00,
000640,KQ,,,"{""eps"": 16727.9966, ""name"": ""Dong-A Socio Holdings Co., Ltd."", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 6.3366823018125205, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 692111266851.0, ""dividendYield"": 1.5674237}",2026-01-13 11:12:29.907426+00,
000650,KQ,,,"{""eps"": -2396.4795, ""name"": ""Chunil Express Co., Ltd"", ""sector"": ""Transportation"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Other Transportation"", ""marketCap"": 377455764055.0, ""dividendYield"": null}",2026-01-13 11:12:29.418534+00,
000670,KQ,,,"{""eps"": -11469.6151, ""name"": ""Young Poong Corporation"", ""sector"": ""Electronic Technology"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Electronic Components"", ""marketCap"": 853206236362.0, ""dividendYield"": 0.010338096}",2026-01-13 11:12:29.682009+00,
000680,KQ,,,"{""eps"": -277.8198, ""name"": ""LS Networks Corporation Ltd."", ""sector"": ""Retail Trade"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Specialty Stores"", ""marketCap"": 252046565018.0, ""dividendYield"": null}",2026-01-13 11:12:33.30527+00,
000700,KQ,,,"{""eps"": 592.7627, ""name"": ""EUSU HOLDINGS CO., LTD."", ""sector"": ""Transportation"", ""country"": ""South Korea"", ""peRatio"": 9.869042029803833, ""industry"": ""Marine Shipping"", ""marketCap"": 151823769188.0, ""dividendYield"": 6.0034304}",2026-01-13 11:12:33.527467+00,
000720,KQ,,,"{""eps"": -2371.1139, ""name"": ""Hyundai Engineering & Construction Co., Ltd"", ""sector"": ""Consumer Durables"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Homebuilding"", ""marketCap"": 10209162989497.0, ""dividendYield"": 0.7915568}",2026-01-13 11:12:32.147509+00,
000725,KQ,,,"{""eps"": -2371.1139, ""name"": ""Hyundai Engineering and Construction Co Ltd Pfd Registered Shs Non-Voting"", ""sector"": ""Consumer Durables"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Homebuilding"", ""marketCap"": 10209162989497.0, ""dividendYield"": 1.166966}",2026-01-13 11:12:33.023284+00,
000810,KQ,,,"{""eps"": 46828.7574, ""name"": ""Samsung Fire & Marine Insurance Co., Ltd"", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": 10.175371426789129, ""industry"": ""Property/Casualty Insurance"", ""marketCap"": 19278269761920.0, ""dividendYield"": 4.042553}",2026-01-13 11:12:32.692592+00,
000815,KQ,,,"{""eps"": 46828.7574, ""name"": ""Samsung Fire & Marine Insurance Co Ltd Pfd Non-Voting"", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": 7.634197870046409, ""industry"": ""Property/Casualty Insurance"", ""marketCap"": 19278269761920.0, ""dividendYield"": 5.2791667}",2026-01-13 11:12:35.250945+00,
000850,KQ,,,"{""eps"": 5937.2529, ""name"": ""Hwacheon Machine Tool Co., Ltd"", ""sector"": ""Producer Manufacturing"", ""country"": ""South Korea"", ""peRatio"": 6.122360056449675, ""industry"": ""Industrial Machinery"", ""marketCap"": 79860001731.0, ""dividendYield"": 2.892562}",2026-01-13 11:12:35.675283+00,
000860,KQ,,,"{""eps"": 454.5215, ""name"": ""Kangnam Jevisco Co.,Ltd"", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": 33.77177977279403, ""industry"": ""Industrial Specialties"", ""marketCap"": 205400000000.0, ""dividendYield"": 3.170577}",2026-01-13 11:12:35.471634+00,
000880,KQ,,,"{""eps"": 13874.5779, ""name"": ""Hanwha Corp"", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": 7.609734110544803, ""industry"": ""Industrial Specialties"", ""marketCap"": 6639233498383.0, ""dividendYield"": 2.093596}",2026-01-13 11:12:35.046497+00,
000890,KQ,,,"{""eps"": 57.2489, ""name"": ""Bohae Brewery Co., Ltd."", ""sector"": ""Consumer Non-Durables"", ""country"": ""South Korea"", ""peRatio"": 7.214112410893485, ""industry"": ""Beverages: Alcoholic"", ""marketCap"": 57301370697.0, ""dividendYield"": null}",2026-01-13 11:12:39.297469+00,
000910,KQ,,,"{""eps"": -888.9438, ""name"": ""Union Corporation"", ""sector"": ""Non-Energy Minerals"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Construction Materials"", ""marketCap"": 70096169291.0, ""dividendYield"": 2.7839644}",2026-01-13 11:12:39.054511+00,
000950,KQ,,,"{""eps"": 26681.82, ""name"": ""Chonbang Co., Ltd"", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": 1.3248721414056464, ""industry"": ""Textiles"", ""marketCap"": 41191839820.0, ""dividendYield"": 2.8089888}",2026-01-13 11:12:39.77547+00,
000970,KQ,,,"{""eps"": 698.3464, ""name"": ""Korea Cast Iron Pipe Ind. Co., Ltd."", ""sector"": ""Producer Manufacturing"", ""country"": ""South Korea"", ""peRatio"": 9.594092559222759, ""industry"": ""Metal Fabrication"", ""marketCap"": 146274603271.0, ""dividendYield"": 6.0514374}",2026-01-13 11:12:39.545878+00,
000990,KQ,,,"{""eps"": 6061.8823, ""name"": ""DB HiTek Co. LTD"", ""sector"": ""Electronic Technology"", ""country"": ""South Korea"", ""peRatio"": 12.60334599370232, ""industry"": ""Semiconductors"", ""marketCap"": 2911380195618.0, ""dividendYield"": 1.7107093}",2026-01-13 11:12:38.832844+00,
001000,KQ,,,"{""eps"": -4.424, ""name"": ""Silla Textile Co., Ltd."", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Textiles"", ""marketCap"": 53410584259.0, ""dividendYield"": null}",2026-01-13 11:12:42.581711+00,
001020,KQ,,,"{""eps"": -125.7424, ""name"": ""PaperCorea, Inc."", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Pulp & Paper"", ""marketCap"": 108176258789.0, ""dividendYield"": null}",2026-01-13 11:12:42.807416+00,
001040,KQ,,,"{""eps"": 11513.0265, ""name"": ""CJ Corporation"", ""sector"": ""Consumer Non-Durables"", ""country"": ""South Korea"", ""peRatio"": 15.58234926324542, ""industry"": ""Food: Specialty/Candy"", ""marketCap"": 5654720342970.0, ""dividendYield"": 1.6910934}",2026-01-13 11:12:41.846694+00,
001045,KQ,,,"{""eps"": 11513.0265, ""name"": ""CJ Corporation Pfd Shs Non-Voting"", ""sector"": ""Consumer Non-Durables"", ""country"": ""South Korea"", ""peRatio"": 7.78248881820953, ""industry"": ""Food: Specialty/Candy"", ""marketCap"": 5654720342970.0, ""dividendYield"": 3.3333335}",2026-01-13 11:12:42.325346+00,
001060,KQ,,,"{""eps"": 2578.8556, ""name"": ""JW Pharmaceutical Corporation"", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 10.644256312761366, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 643299711508.0, ""dividendYield"": 1.6453382}",2026-01-13 11:12:42.099526+00,
001065,KQ,,,"{""eps"": 2578.8556, ""name"": ""JW PHARMACEUTICAL CORP Pfd Shs Non-Voting"", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 11.10957899310066, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 643299711508.0, ""dividendYield"": 1.6267123}",2026-01-13 11:12:44.883862+00,
001067,KQ,,,"{""eps"": 2578.8556, ""name"": ""JW PHARMACEUTICAL CORP Pfd Shs Non-Voting"", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 23.072249566823363, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 643299711508.0, ""dividendYield"": 1.6453382}",2026-01-13 11:12:45.145671+00,
001070,KQ,,,"{""eps"": -187.4079, ""name"": ""Taihan Textile Co., Ltd"", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Textiles"", ""marketCap"": 22179613729.0, ""dividendYield"": null}",2026-01-13 11:12:44.657915+00,
001120,KQ,,,"{""eps"": 3207.0777, ""name"": ""LX INTERNATIONAL CORP."", ""sector"": ""Distribution Services"", ""country"": ""South Korea"", ""peRatio"": 10.19619823991168, ""industry"": ""Wholesale Distributors"", ""marketCap"": 1176150432587.0, ""dividendYield"": 6.2402496}",2026-01-13 11:12:44.236334+00,
001130,KQ,,,"{""eps"": 36491.6834, ""name"": ""Daehan Flour Mills Co., Ltd."", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": 3.8419712914641804, ""industry"": ""Agricultural Commodities/Milling"", ""marketCap"": 230002311730.0, ""dividendYield"": 2.4822695}",2026-01-13 11:12:44.43491+00,
001200,KQ,,,"{""eps"": 696.0347, ""name"": ""Eugene Investment & Securities Co., Ltd."", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": 4.913548132011234, ""industry"": ""Investment Banks/Brokers"", ""marketCap"": 315008282700.0, ""dividendYield"": 2.9154518}",2026-01-13 11:12:46.67652+00,
001210,KQ,,,"{""eps"": -218.6158, ""name"": ""Kumho Electric, Inc."", ""sector"": ""Electronic Technology"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Semiconductors"", ""marketCap"": 50674575329.0, ""dividendYield"": null}",2026-01-13 11:12:46.469673+00,
001250,KQ,,,"{""eps"": 357.2637, ""name"": ""GS Global Corp."", ""sector"": ""Distribution Services"", ""country"": ""South Korea"", ""peRatio"": 6.367845375838631, ""industry"": ""Wholesale Distributors"", ""marketCap"": 186851630516.0, ""dividendYield"": 1.1185682}",2026-01-13 11:12:47.045726+00,
001260,KQ,,,"{""eps"": 478.4669, ""name"": ""Namkwang Engineering & Construction Co., Ltd."", ""sector"": ""Industrial Services"", ""country"": ""South Korea"", ""peRatio"": 17.033571183293976, ""industry"": ""Engineering & Construction"", ""marketCap"": 81045642614.0, ""dividendYield"": null}",2026-01-13 11:12:47.257664+00,
001270,KQ,,,"{""eps"": 5073.1826, ""name"": ""Bookook Securities Co., Ltd"", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": 10.900455268454165, ""industry"": ""Investment Banks/Brokers"", ""marketCap"": 414385498810.0, ""dividendYield"": 2.6690392}",2026-01-13 11:12:47.493802+00,
001275,KQ,,,"{""eps"": 5073.1826, ""name"": ""Bookook Securities Co., Ltd Non-Cum Pfd Registered Shs Non-Voting"", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": 5.5093621112711375, ""industry"": ""Investment Banks/Brokers"", ""marketCap"": 414385498810.0, ""dividendYield"": 5.525847}",2026-01-13 11:12:49.284422+00,
001290,KQ,,,"{""eps"": -182.2429, ""name"": ""SANGSANGININVESTMENT&SECURITIES CO.,LTD."", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Investment Banks/Brokers"", ""marketCap"": 67265015373.0, ""dividendYield"": null}",2026-01-13 11:12:49.683945+00,
001360,KQ,,,"{""eps"": 566.4714, ""name"": ""SAMSUNG PHARMACEUTICAL.CO.,Ltd."", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 2.5155727191169754, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 135627352722.00002, ""dividendYield"": null}",2026-01-13 11:12:48.884045+00,
001380,KQ,,,"{""eps"": 109.7342, ""name"": ""SG GLOBAL CO., LTD"", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": 14.088588607744896, ""industry"": ""Textiles"", ""marketCap"": 70728601124.0, ""dividendYield"": null}",2026-01-13 11:12:49.082888+00,
001420,KQ,,,"{""eps"": 95.335, ""name"": ""TAE WON MULSAN Co., Ltd."", ""sector"": ""Non-Energy Minerals"", ""country"": ""South Korea"", ""peRatio"": 33.25116693764095, ""industry"": ""Construction Materials"", ""marketCap"": 23135952568.0, ""dividendYield"": 6.259781}",2026-01-13 11:12:49.470511+00,
